# All named functions
# Address	Size	Name
# Extracted from: superb

00161d78	2	fseek
00161d7c	12	fseek
00161d88	12	pthread_attr_setdetachstate
00161d94	12	__h_errno_location
00161da0	12	sched_get_priority_max
00161dac	12	tcsetattr
00161db8	12	wcscmp
00161dc4	12	operator==
00161dd0	12	filebuf
00161ddc	12	fchmod
00161de8	2	inet_ntop
00161dec	12	inet_ntop
00161df8	12	sem_getvalue
00161e04	12	_Rb_tree_decrement
00161e10	12	operator<<
00161e1c	12	__select_time64
00161e28	12	fsync
00161e34	12	shmat
00161e40	12	getsockname
00161e4c	12	socketpair
00161e58	12	if_nameindex
00161e64	12	pthread_equal
00161e70	2	append
00161e74	12	append
00161e84	12	strftime
00161e90	12	rename
00161e9c	12	posix_spawn_file_actions_adddup2
00161ea8	12	sysinfo
00161eb4	12	__aeabi_d2ulz
00161ec0	12	__mulvsi3
00161ecc	12	__addvsi3
00161ed8	12	__cxa_end_cleanup
00161ee4	2	strtod
00161ee8	12	strtod
00161ef4	12	__aeabi_f2lz
00161f04	12	append
00161f14	12	pthread_mutex_destroy
00161f24	12	strtol
00161f30	12	__aeabi_fmul
00161f3c	12	log2
00161f58	12	string
00161f64	12	rewind
00161f70	12	if_freenameindex
00161f7c	2	strcasecmp
00161f80	12	strcasecmp
00161f8c	12	fdopen
00161f98	12	__utimes_time64
00161fa4	2	malloc
00161fa8	12	malloc
00161fb4	12	__aeabi_dsub
00161fc0	12	_Rb_tree_increment
00161fcc	12	__aeabi_ldivmod
00161fd8	12	operator<<
00161fe4	12	rfind
00161ff0	12	getline<char,std::char_traits<char>,std::allocator<char>>
00161ffc	12	__aeabi_dadd
00162008	12	clearerr
00162014	12	__aeabi_fcmpeq
00162020	12	__aeabi_f2uiz
0016202c	2	calloc
00162030	12	calloc
0016203c	12	pthread_once
0016204c	12	__gettimeofday_time64
00162058	12	__aeabi_f2iz
00162064	12	string
00162070	12	gai_strerror
0016207c	12	_M_need_rehash
00162088	2	sem_post
0016208c	12	sem_post
00162098	12	pthread_cond_wait
001620a4	12	pthread_rwlock_destroy
001620b0	12	rand
001620bc	12	strcspn
001620c8	12	srand
001620d4	12	isprint
001620e4	12	memcpy
001620f4	12	usleep
00162104	12	operator.delete[]
00162110	12	vprintf
0016211c	12	operator<<
0016212c	12	__ostream_insert<char,std::char_traits<char>>
0016213c	12	assign
00162148	12	strnlen
00162154	12	ftok
00162160	12	unlinkat
0016217c	12	popen
00162188	12	pclose
00162194	12	timer_create
001621a0	12	cfsetispeed
001621ac	12	__aeabi_idivmod
001621b8	12	strtoll
001621c8	12	init
001621d4	12	getcwd
001621e0	12	waitpid
001621ec	12	fileno
001621f8	12	posix_spawn_file_actions_addclose
00162204	12	_M_leak
00162214	12	clear
00162220	12	setenv
